sample	condition
GSM425929	ctrl
GSM425930	ctrl
GSM425931	ctrl
GSM425932	ctrl
GSM425933	ctrl
GSM425934	ctrl
GSM425935	ctrl
GSM425936	ctrl
GSM425937	ctrl
GSM425938	ctrl
GSM425939	ctrl
GSM425837	treat
GSM425838	treat
GSM425839	treat
GSM425840	treat
GSM425841	treat
GSM425842	treat
GSM425843	treat
GSM425844	treat
GSM425845	treat
GSM425846	treat
GSM425847	treat
GSM425848	treat
GSM425849	treat
GSM425850	treat
GSM425851	treat
GSM425852	treat
GSM425853	treat
GSM425854	treat
GSM425855	treat
GSM425856	treat
GSM425857	treat
GSM425858	treat
GSM425859	treat
GSM425860	treat
GSM425861	treat
GSM425862	treat
GSM425863	treat
GSM425864	treat
GSM425865	treat
GSM425866	treat
GSM425867	treat
GSM425868	treat
GSM425869	treat
GSM425870	treat
GSM425871	treat
GSM425872	treat
GSM425873	treat
GSM425874	treat
GSM425875	treat
GSM425876	treat
GSM425877	treat
GSM425878	treat
GSM425879	treat
GSM425880	treat
GSM425881	treat
GSM425882	treat
GSM425883	treat
GSM425884	treat
GSM425885	treat
GSM425886	treat
GSM425887	treat
GSM425888	treat
GSM425889	treat
GSM425890	treat
GSM425891	treat
GSM425892	treat
GSM425893	treat
GSM425894	treat
GSM425895	treat
GSM425896	treat
GSM425897	treat
GSM425898	treat
GSM425899	treat
GSM425900	treat
GSM425901	treat
GSM425902	treat
GSM425903	treat
GSM425904	treat
GSM425905	treat
GSM425906	treat
GSM425907	treat
GSM425908	treat
GSM425909	treat
GSM425910	treat
GSM425911	treat
GSM425912	treat
GSM425913	treat
GSM425914	treat
GSM425915	treat
GSM425916	treat
GSM425917	treat
GSM425918	treat
GSM425919	treat
GSM425920	treat
GSM425921	treat
GSM425922	treat
GSM425923	treat
GSM425924	treat
GSM425925	treat
GSM425926	treat
GSM425927	treat
GSM425928	treat